,Event times,Fitted stations,Moveout intercept,Moveout slope (s/km),Event?,
340,2011-07-01T03:49:51.479900Z,6,-0.213904236,0.180939826,,
341,2011-07-01T04:22:43.450700Z,5,0.332595287,0.239446318,,
342,2011-07-01T06:04:24.940600Z,6,-3.353683759,-0.055837134,,
343,2011-07-01T06:14:09.030700Z,3,-17.86856159,2.471234274,Y,
344,2011-07-01T06:34:23.130600Z,3,7.07838211,-0.779999852,,
345,2011-07-01T06:47:23.290700Z,3,-71.01818801,8.817172009,,
346,2011-07-01T07:47:11.660600Z,5,-7.752709475,0.964127348,,
347,2011-07-01T09:13:38.370600Z,3,76.2842586,0.216090048,,
348,2011-07-01T09:18:12.280700Z,3,11.90410688,-0.593335232,,
349,2011-07-01T10:12:24.040000Z,5,-1.50081859,0.223427306,,
350,2011-07-01T10:16:13.280000Z,4,12.1907324,-0.896757075,Y,
351,2011-07-01T10:20:40.520000Z,6,-2.705778821,0.32825255,,
352,2011-07-01T10:27:37.960000Z,6,-2.47684308,0.344775965,,
353,2011-07-01T11:08:21.790000Z,7,3.432518871,-0.403068935,,
354,2011-07-01T11:34:17.680000Z,3,8.124788954,-0.991021831,,
355,2011-07-01T11:59:01.980000Z,4,2.82464685,-0.551386059,,
356,2011-07-01T12:06:06.830000Z,9,-3.781938852,0.339786362,,
357,2011-07-01T13:48:14.590000Z,5,-1.674971659,0.204648045,,
358,2011-07-01T14:40:52.130000Z,4,-45.14114136,-0.562231987,,
359,2011-07-01T14:48:20.190000Z,5,-0.881535369,0.326029218,,
360,2011-07-01T15:10:34.620000Z,3,-10.46833051,-0.071992988,,
361,2011-07-01T15:33:43.490000Z,4,0.686882652,0.178811939,,
362,2011-07-01T15:49:27.330000Z,6,1.080513033,0.091564671,,
363,2011-07-01T17:07:09.449900Z,8,1.867945734,-0.358334089,,
364,2011-07-01T17:28:29.159900Z,5,-0.355677953,-0.059764744,,
365,2011-07-01T17:32:15.899900Z,5,8.195681579,-0.756993128,,
366,2011-07-01T17:40:04.089900Z,3,-13.40654758,1.167746786,Y,
